epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
3,11,0.18498,68.00000,42.00000,166
3,12,0.19138,62.00000,42.00000,157
3,13,0.19079,60.00000,48.00000,162
3,14,0.17521,73.00000,42.00000,173
3,15,0.18420,77.00000,42.00000,178
3,16,0.19060,64.00000,54.00000,174
3,17,0.18344,74.00000,42.00000,174
3,18,0.18595,62.00000,48.00000,164
3,19,0.17444,79.00000,42.00000,182
3,20,0.19677,50.00000,54.00000,155
3,21,0.18563,57.00000,54.00000,164
3,22,0.18500,69.00000,48.00000,176
3,23,0.17991,63.00000,48.00000,167
3,24,0.17667,79.00000,42.00000,181
3,25,0.16786,79.00000,42.00000,180
3,26,0.18956,59.00000,48.00000,160
3,27,0.19210,51.00000,54.00000,155
3,28,0.16041,78.00000,42.00000,181
3,29,0.17317,67.00000,48.00000,170
3,30,0.18249,77.00000,42.00000,178
3,31,0.18526,62.00000,42.00000,159
3,32,0.17459,71.00000,42.00000,169
3,33,0.16449,80.00000,42.00000,181
3,34,0.16395,77.00000,42.00000,178
3,35,0.18641,56.00000,54.00000,163
3,36,0.16736,86.00000,35.00000,183
3,37,0.17224,72.00000,42.00000,171
3,38,0.16380,69.00000,42.00000,169
3,39,0.16068,75.00000,42.00000,175
3,40,0.17641,68.00000,42.00000,167
3,41,0.16983,61.00000,48.00000,162
3,42,0.17226,64.00000,48.00000,166
3,43,0.16382,93.00000,36.00000,197
3,44,0.15525,78.00000,42.00000,179
3,45,0.17065,59.00000,48.00000,161
3,46,0.18316,64.00000,42.00000,160
3,47,0.16192,80.00000,42.00000,180
3,48,0.17457,68.00000,42.00000,166
3,49,0.16637,69.00000,42.00000,166
3,50,0.15871,74.00000,42.00000,174
3,51,0.17119,67.00000,48.00000,170
3,52,0.15708,72.00000,42.00000,170
3,53,0.16258,75.00000,42.00000,175
3,54,0.16509,59.00000,54.00000,166
3,55,0.16955,57.00000,42.00000,151
3,56,0.16611,61.00000,42.00000,155
3,57,0.15596,69.00000,42.00000,166
3,58,0.15841,62.00000,48.00000,163
3,59,0.16510,62.00000,48.00000,163
3,60,0.17116,62.00000,48.00000,164
3,61,0.15805,66.00000,48.00000,169
3,62,0.16009,67.00000,48.00000,170
3,63,0.16007,76.00000,42.00000,176
3,64,0.16423,57.00000,42.00000,151
3,65,0.16210,71.00000,42.00000,169
4,0,0.16618,69.00000,42.00000,183
4,1,0.15001,62.00000,48.00000,171
4,2,0.16068,68.00000,42.00000,179
4,3,0.14446,79.00000,42.00000,181
4,4,0.14780,74.00000,42.00000,176
4,5,0.14047,67.00000,42.00000,164
4,6,0.15637,69.00000,42.00000,167
4,7,0.16831,49.00000,48.00000,147
4,8,0.16791,72.00000,42.00000,171
4,9,0.15951,57.00000,42.00000,151
4,10,0.15589,70.00000,42.00000,168
4,11,0.15081,68.00000,42.00000,166
4,12,0.15818,72.00000,42.00000,171
4,13,0.15527,65.00000,48.00000,169
4,14,0.14617,90.00000,35.00000,188
4,15,0.15901,67.00000,48.00000,170
4,16,0.15321,75.00000,42.00000,177
4,17,0.14789,68.00000,42.00000,166
4,18,0.16354,64.00000,42.00000,160
4,19,0.15298,70.00000,42.00000,169
4,20,0.14388,77.00000,42.00000,179
4,21,0.14503,63.00000,48.00000,166
4,22,0.14685,77.00000,42.00000,178
4,23,0.14696,79.00000,42.00000,181
4,24,0.15334,68.00000,48.00000,172
4,25,0.14754,67.00000,48.00000,170
4,26,0.14321,74.00000,42.00000,175
4,27,0.14899,70.00000,48.00000,176
4,28,0.14852,62.00000,42.00000,157
4,29,0.14658,63.00000,48.00000,165
4,30,0.15704,57.00000,42.00000,153
4,31,0.13845,70.00000,48.00000,175
4,32,0.14238,81.00000,42.00000,183
4,33,0.13147,78.00000,42.00000,179
4,34,0.14925,63.00000,48.00000,167
4,35,0.15134,63.00000,42.00000,159
4,36,0.15089,63.00000,54.00000,174
4,37,0.13972,74.00000,42.00000,174
4,38,0.14602,59.00000,54.00000,168
4,39,0.14863,55.00000,48.00000,154
4,40,0.15610,70.00000,48.00000,201
4,41,0.14139,75.00000,42.00000,175
4,42,0.14152,70.00000,42.00000,168
4,43,0.13947,77.00000,42.00000,179
4,44,0.14199,74.00000,42.00000,175
4,45,0.14505,77.00000,42.00000,178
4,46,0.13954,78.00000,42.00000,178
4,47,0.13743,81.00000,42.00000,182
4,48,0.13522,73.00000,48.00000,179
4,49,0.14167,63.00000,48.00000,164
4,50,0.13541,77.00000,42.00000,177
4,51,0.12690,85.00000,36.00000,182
4,52,0.14722,51.00000,54.00000,154
4,53,0.13654,79.00000,42.00000,180
4,54,0.14132,67.00000,42.00000,163
4,55,0.13665,73.00000,42.00000,171
4,56,0.13778,77.00000,42.00000,177
4,57,0.14280,66.00000,48.00000,169
4,58,0.14465,68.00000,48.00000,172
4,59,0.13133,94.00000,35.00000,196
4,60,0.15438,55.00000,48.00000,153
4,61,0.15070,59.00000,48.00000,159
4,62,0.13933,62.00000,48.00000,163
4,63,0.12690,91.00000,35.00000,189
4,64,0.13390,75.00000,42.00000,175
4,65,0.13893,60.00000,48.00000,161
5,0,0.13846,64.00000,42.00000,176
